week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id
2019.06.24,2019,6,24,206,206,1,up,24,247,26,/en/players/thai-son-kwiatkowski/kd35/overview,thai-son-kwiatkowski,Thai-Son Kwiatkowski,USA,kd35
2019.06.24,2019,6,24,207,207,14,up,30,245,15,/en/players/attila-balazs/bd80/overview,attila-balazs,Attila Balazs,HUN,bd80
2019.06.24,2019,6,24,208,208,15,up,27,242,32,/en/players/mats-moraing/mj71/overview,mats-moraing,Mats Moraing,GER,mj71
2019.06.24,2019,6,24,209,209,1,down,31,241,26,/en/players/andrea-arnaboldi/a622/overview,andrea-arnaboldi,Andrea Arnaboldi,ITA,a622
2019.06.24,2019,6,24,210,210,1,down,17,239,16,/en/players/jannik-sinner/s0ag/overview,jannik-sinner,Jannik Sinner,ITA,s0ag
2019.06.24,2019,6,24,211,211,30,down,28,236,28,/en/players/enrique-lopez-perez/la93/overview,enrique-lopez-perez,Enrique Lopez Perez,ESP,la93
2019.06.24,2019,6,24,212,212,29,down,27,234,26,/en/players/arthur-de-greef/d981/overview,arthur-de-greef,Arthur De Greef,BEL,d981
2019.06.24,2019,6,24,213,213,1,up,27,231,10,/en/players/yannick-hanfmann/h997/overview,yannick-hanfmann,Yannick Hanfmann,GER,h997
2019.06.24,2019,6,24,214,214,1,up,32,230,11,/en/players/andy-murray/mc10/overview,andy-murray,Andy Murray,GBR,mc10
2019.06.24,2019,6,24,215,215,2,up,24,230,21,/en/players/enzo-couacaud/cg94/overview,enzo-couacaud,Enzo Couacaud,FRA,cg94
2019.06.24,2019,6,24,216,216,6,down,29,230,22,/en/players/roberto-marcora/mj01/overview,roberto-marcora,Roberto Marcora,ITA,mj01
2019.06.24,2019,6,24,217,217,6,down,24,228,26,/en/players/evgeny-karlovskiy/kd87/overview,evgeny-karlovskiy,Evgeny Karlovskiy,RUS,kd87
2019.06.24,2019,6,24,218,218,5,down,21,227,23,/en/players/duckhee-lee/le01/overview,duckhee-lee,Duckhee Lee,KOR,le01
2019.06.24,2019,6,24,219,219,1,down,20,226,24,/en/players/elliot-benchetrit/bt68/overview,elliot-benchetrit,Elliot Benchetrit,FRA,bt68
2019.06.24,2019,6,24,220,220,,,25,224,23,/en/players/andrew-harris/hb29/overview,andrew-harris,Andrew Harris,AUS,hb29
2019.06.24,2019,6,24,221,221,4,up,28,219,23,/en/players/ze-zhang/z272/overview,ze-zhang,Ze Zhang,CHN,z272
2019.06.24,2019,6,24,222,222,9,up,23,217,31,/en/players/lucas-miedler/mo55/overview,lucas-miedler,Lucas Miedler,AUT,mo55
2019.06.24,2019,6,24,223,223,4,up,35,216,18,/en/players/rogerio-dutra-silva/sc73/overview,rogerio-dutra-silva,Rogerio Dutra Silva,BRA,sc73
2019.06.24,2019,6,24,224,224,27,up,21,215,22,/en/players/sumit-nagal/n897/overview,sumit-nagal,Sumit Nagal,IND,n897
2019.06.24,2019,6,24,225,225,4,up,30,214,20,/en/players/john-patrick-smith/sj55/overview,john-patrick-smith,John-Patrick Smith,AUS,sj55
2019.06.24,2019,6,24,226,226,4,up,27,214,27,/en/players/roberto-quiroz/q941/overview,roberto-quiroz,Roberto Quiroz,ECU,q941
2019.06.24,2019,6,24,227,227,1,down,34,211,15,/en/players/luca-vanni/v495/overview,luca-vanni,Luca Vanni,ITA,v495
2019.06.24,2019,6,24,228,228,11,up,28,211,22,/en/players/steven-diez/d916/overview,steven-diez,Steven Diez,CAN,d916
2019.06.24,2019,6,24,229,229,4,up,24,211,27,/en/players/pedja-krstin/kd70/overview,pedja-krstin,Pedja Krstin,SRB,kd70
2019.06.24,2019,6,24,230,230,5,up,35,209,14,/en/players/steve-darcis/d632/overview,steve-darcis,Steve Darcis,BEL,d632
2019.06.24,2019,6,24,231,231,3,down,24,207,31,/en/players/pedro-cachin/cg04/overview,pedro-cachin,Pedro Cachin,ARG,cg04
2019.06.24,2019,6,24,232,232,5,up,32,206,7,/en/players/blaz-kavcic/k834/overview,blaz-kavcic,Blaz Kavcic,SLO,k834
2019.06.24,2019,6,24,233,233,14,down,31,205,18,/en/players/tim-smyczek/sf62/overview,tim-smyczek,Tim Smyczek,USA,sf62
2019.06.24,2019,6,24,234,234,6,up,32,204,29,/en/players/zhe-li/l733/overview,zhe-li,Zhe Li,CHN,l733
2019.06.24,2019,6,24,235,235,6,up,22,204,31,/en/players/bernabe-zapata-miralles/z419/overview,bernabe-zapata-miralles,Bernabe Zapata Miralles,ESP,z419
2019.06.24,2019,6,24,236,236,7,up,28,203,31,/en/players/mohamed-safwat/sk47/overview,mohamed-safwat,Mohamed Safwat,EGY,sk47
2019.06.24,2019,6,24,237,237,1,down,25,202,17,/en/players/mathias-bourgue/bk19/overview,mathias-bourgue,Mathias Bourgue,FRA,bk19
2019.06.24,2019,6,24,238,238,,,22,200,22,/en/players/akira-santillan/sq80/overview,akira-santillan,Akira Santillan,AUS,sq80
2019.06.24,2019,6,24,239,239,5,up,24,195,32,/en/players/kaichi-uchida/u120/overview,kaichi-uchida,Kaichi Uchida,JPN,u120
2019.06.24,2019,6,24,240,240,6,up,19,194,25,/en/players/nicola-kuhn/ki74/overview,nicola-kuhn,Nicola Kuhn,ESP,ki74
2019.06.24,2019,6,24,241,241,7,down,30,193,16,/en/players/sergio-gutierrez-ferrol/g935/overview,sergio-gutierrez-ferrol,Sergio Gutierrez-Ferrol,ESP,g935
2019.06.24,2019,6,24,242,242,18,down,30,191,22,/en/players/thiemo-de-bakker/d776/overview,thiemo-de-bakker,Thiemo de Bakker,NED,d776
2019.06.24,2019,6,24,243,243,4,up,31,190,16,/en/players/santiago-giraldo/g725/overview,santiago-giraldo,Santiago Giraldo,COL,g725
